Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-July-2025,1628.15,1643.40,1612.40,1640.20,1627.212858678423727887,274445,8954,446580433.00,133332,48.58,31.00,12.05
3-July-2025,1610.00,1632.00,1610.00,1618.15,1623.069071373752877973,95119,3954,154384707.00,39544,41.57,22.00,8.15
2-July-2025,1616.60,1649.00,1604.00,1609.90,1629.449341294257629516,466445,14347,760048498.00,167023,35.81,45.00,-6.70
1-July-2025,1601.30,1617.00,1600.90,1608.15,1607.664768778806582134,461917,15706,742607687.00,76598,16.58,16.10,6.85
30-June-2025,1609.30,1614.95,1594.25,1601.30,1604.268781284409525886,187993,8194,301591301.00,106877,56.85,20.70,-8.00
27-June-2025,1602.05,1629.95,1602.05,1608.60,1614.801081939550349893,80596,3636,130146508.00,27176,33.72,27.90,6.55
26-June-2025,1615.45,1624.10,1606.55,1615.00,1615.501170673562998201,187926,6197,303594673.00,104603,55.66,17.55,-0.45
25-June-2025,1592.95,1619.85,1586.00,1615.50,1606.562502058335986299,91093,3640,146346598.00,42184,46.31,33.85,22.55
24-June-2025,1603.15,1606.40,1577.90,1581.55,1586.728025083489854424,930652,25603,1476691610.00,168722,18.13,28.50,-21.60
23-June-2025,1600.00,1600.10,1576.00,1584.70,1586.466276059939810699,256524,8970,406966675.00,150465,58.66,24.10,-15.30
20-June-2025,1619.00,1630.00,1608.65,1621.85,1616.241198875638274869,300615,11493,485866348.00,154221,51.30,21.35,2.85
19-June-2025,1629.65,1629.65,1612.25,1618.50,1618.468398451995970948,188630,5213,305291694.00,138288,73.31,17.40,-11.15
18-June-2025,1615.00,1644.45,1615.00,1632.80,1635.430126268142323188,659232,6720,1078127873.00,571757,86.73,29.45,17.80
17-June-2025,1619.95,1647.70,1615.20,1640.15,1637.656340100499012567,2067483,30733,3385826643.00,1090399,52.74,32.50,20.20
16-June-2025,1600.00,1634.50,1596.80,1623.75,1618.564793302080039593,436434,11680,706396707.00,258114,59.14,37.70,23.75
13-June-2025,1571.05,1608.75,1570.00,1601.55,1593.467776533013747405,115149,5082,183486221.00,31116,27.02,38.75,30.50
12-June-2025,1625.95,1627.50,1598.40,1607.40,1612.098469240068790546,176187,6694,284030793.00,77083,43.75,29.10,-18.55
11-June-2025,1594.95,1634.10,1589.95,1630.70,1616.293402682726526142,420095,18115,678996777.00,254356,60.55,44.15,35.75
10-June-2025,1580.00,1607.00,1577.70,1596.25,1595.426162297128589263,400500,19033,638968178.00,98855,24.68,29.30,16.25
9-June-2025,1579.00,1587.90,1570.10,1572.55,1577.387709791525551290,292314,13135,461092511.00,135165,46.24,17.80,-6.45
6-June-2025,1553.30,1568.00,1543.70,1564.05,1554.129042558338305729,310045,13482,481849939.00,89443,28.85,24.30,10.75
5-June-2025,1552.00,1567.45,1542.40,1554.35,1555.754826298905163654,175186,7307,272546465.00,79518,45.39,25.05,2.35
4-June-2025,1542.30,1557.00,1542.00,1551.25,1549.998227357093699818,47951,2722,74323965.00,16813,35.06,15.00,8.95
3-June-2025,1561.80,1566.70,1535.35,1542.35,1544.282395235735344762,1190530,44376,1838514520.00,153231,12.87,31.35,-19.45
2-June-2025,1562.00,1562.00,1538.75,1554.20,1551.562477812226350791,338024,16190,524465355.00,143654,42.50,23.25,-7.80
30-May-2025,1569.00,1570.75,1555.10,1562.80,1564.036761049036835648,361932,8992,566074953.00,260083,71.86,15.65,-6.20
29-May-2025,1585.00,1609.00,1577.00,1585.40,1593.215575140849834265,413916,13154,659457418.00,165230,39.92,32.00,0.40
28-May-2025,1574.05,1587.00,1570.05,1572.05,1577.179953501315068985,222802,7203,351398848.00,151968,68.21,16.95,-2.00
27-May-2025,1578.25,1582.80,1556.20,1570.50,1567.572211251952233104,959158,32264,1503549427.00,339522,35.40,26.60,-7.75
